03/13/2014 09:06:08 PM start : 2014:03:13:_21:06
03/13/2014 09:06:54 PM URL [ https://play.google.com/store/apps/collection/topgrossing ] + | applications [ 49 ]
03/13/2014 09:07:37 PM URL [ https://play.google.com/store/apps/collection/editors_choice ] + | applications [ 42 ]
03/13/2014 09:10:27 PM URL [ https://play.google.com/store/apps/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 09:13:20 PM URL [ https://play.google.com/store/apps/collection/topselling_new_paid ] + | applications [ 540 ]
03/13/2014 09:14:06 PM URL [ https://play.google.com/store/apps/collection/promotion_30000e1_play_picks_apps ] + | applications [ 21 ]
03/13/2014 09:14:49 PM URL [ https://play.google.com/store/apps/collection/promotion_30000e0_apps_to_watch ] + | applications [ 10 ]
03/13/2014 09:16:01 PM URL [ https://play.google.com/store/apps/collection/promotion_30000e3_phone_highlights ] + | applications [ 130 ]
03/13/2014 09:18:54 PM URL [ https://play.google.com/store/apps/category/BOOKS_AND_REFERENCE/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 09:21:43 PM URL [ https://play.google.com/store/apps/category/BUSINESS/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 09:22:43 PM URL [ https://play.google.com/store/apps/category/COMICS/collection/topselling_paid ] + | applications [ 116 ]
03/13/2014 09:25:31 PM URL [ https://play.google.com/store/apps/category/COMMUNICATION/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 09:28:18 PM URL [ https://play.google.com/store/apps/category/EDUCATION/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 09:31:06 PM URL [ https://play.google.com/store/apps/category/ENTERTAINMENT/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 09:33:53 PM URL [ https://play.google.com/store/apps/category/FINANCE/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 09:36:38 PM URL [ https://play.google.com/store/apps/category/HEALTH_AND_FITNESS/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 09:38:08 PM URL [ https://play.google.com/store/apps/category/LIBRARIES_AND_DEMO/collection/topselling_paid ] + | applications [ 203 ]
03/13/2014 09:40:58 PM URL [ https://play.google.com/store/apps/category/LIFESTYLE/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 09:43:52 PM URL [ https://play.google.com/store/apps/category/MEDIA_AND_VIDEO/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 09:46:43 PM URL [ https://play.google.com/store/apps/category/MEDICAL/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 09:49:32 PM URL [ https://play.google.com/store/apps/category/MUSIC_AND_AUDIO/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 09:51:31 PM URL [ https://play.google.com/store/apps/category/NEWS_AND_MAGAZINES/collection/topselling_paid ] + | applications [ 345 ]
03/13/2014 09:54:21 PM URL [ https://play.google.com/store/apps/category/PERSONALIZATION/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 09:57:10 PM URL [ https://play.google.com/store/apps/category/PHOTOGRAPHY/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 10:00:01 PM URL [ https://play.google.com/store/apps/category/PRODUCTIVITY/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 10:01:49 PM URL [ https://play.google.com/store/apps/category/SHOPPING/collection/topselling_paid ] + | applications [ 245 ]
03/13/2014 10:05:21 PM URL [ https://play.google.com/store/apps/category/SOCIAL/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 10:08:12 PM URL [ https://play.google.com/store/apps/category/SPORTS/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 10:11:02 PM URL [ https://play.google.com/store/apps/category/TOOLS/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 10:12:02 PM URL [ https://play.google.com/store/apps/category/TRANSPORTATION/collection/topselling_paid ] + | applications [ 118 ]
03/13/2014 10:12:45 PM URL [ https://play.google.com/store/apps/category/TRAVEL_AND_LOCAL/collection/topselling_paid ] + | applications [ 57 ]
03/13/2014 10:14:58 PM URL [ https://play.google.com/store/apps/category/WEATHER/collection/topselling_paid ] + | applications [ 389 ]
03/13/2014 10:16:17 PM URL [ https://play.google.com/store/apps/category/GAME/collection/topgrossing ] + | applications [ 157 ]
03/13/2014 10:19:05 PM URL [ https://play.google.com/store/apps/category/GAME/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 10:21:57 PM URL [ https://play.google.com/store/apps/category/GAME/collection/topselling_new_paid ] + | applications [ 540 ]
03/13/2014 10:22:53 PM URL [ https://play.google.com/store/apps/collection/promotion_30000df_games_to_watch ] + | applications [ 12 ]
03/13/2014 10:23:33 PM URL [ https://play.google.com/store/apps/collection/promotion_30000e2_play_picks_games ] + | applications [ 13 ]
03/13/2014 10:26:24 PM URL [ https://play.google.com/store/apps/category/BRAIN/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 10:27:14 PM URL [ https://play.google.com/store/apps/category/CARDS/collection/topselling_paid ] + | applications [ 42 ]
03/13/2014 10:30:11 PM URL [ https://play.google.com/store/apps/category/CASUAL/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 10:32:44 PM URL [ https://play.google.com/store/apps/category/RACING/collection/topselling_paid ] + | applications [ 427 ]
03/13/2014 10:35:38 PM URL [ https://play.google.com/store/apps/category/SPORTS_GAMES/collection/topselling_paid ] + | applications [ 522 ]
03/13/2014 10:35:39 PM finish : 2014:03:13:_22:35
